Datetime,Code,Activity_Type,Heart rate___beats/minute,Calories burned_kcal,Exercise duration_s,Sleep duration_minutes,Sleep type duration_minutes,Floors climbed___floors
2022=12-08 01:40,,Floors Climbed,57.0,,,,,1.0
2022=12-08 01:41,,Floors Climbed,56.0,,,,,1.0
2022=12-08 01:42,,Floors Climbed,55.0,,,,,1.0
2022=12-08 01:43,,Floors Climbed,55.0,,,,,1.0
2022=12-08 01:44,,Floors Climbed,55.0,,,,,1.0
2022=12-08 01:45,,Floors Climbed,55.0,,,,,1.0
2022=12-08 01:45,,No Physical Activity,55.0,,,,,
2022=12-08 02:39,,Floors Climbed,57.0,,,,,1.0
2022=12-08 02:40,,Floors Climbed,57.0,,,,,1.0
2022=12-08 02:43,,No Physical Activity,57.0,,,,,
2022=12-08 02:44,,No Physical Activity,56.0,,,,,
2022=12-08 02:45,,No Physical Activity,56.0,,,,,
2022=12-08 03:39,,Floors Climbed,57.0,,,,,1.0
2022=12-08 03:39,93830-8,Light Sleep,57.0,,,7.0,7.0,
2022=12-08 03:41,,No Physical Activity,59.0,,,,,
2022=12-08 03:42,,No Physical Activity,58.0,,,,,
2022=12-08 04:28,93830-8,Light Sleep,67.0,,,11.0,17.0,
2022=12-08 04:30,93830-8,Light Sleep,64.0,,,9.0,13.0,
2022=12-08 04:32,93830-8,Light Sleep,62.0,,,8.0,10.0,
2022=12-08 04:33,93830-8,Light Sleep,59.0,,,6.0,7.0,
2022=12-08 04:34,93830-8,Light Sleep,58.0,,,5.0,6.0,
2022=12-08 04:35,93830-8,Light Sleep,56.0,,,4.0,4.0,
2022=12-08 04:36,93830-8,Light Sleep,56.0,,,4.0,5.0,
2022=12-08 04:37,93830-8,Light Sleep,57.0,,,6.0,7.0,
2022=12-08 04:38,93830-8,Light Sleep,57.0,,,8.0,8.0,
2022=12-08 04:39,,No Physical Activity,60.0,,,,,
2022=12-08 04:39,93830-8,Light Sleep,57.0,,,9.0,9.0,
2022=12-08 04:40,,No Physical Activity,59.0,,,,,
2022=12-08 05:25,93830-8,Light Sleep,73.0,,,13.0,25.0,
2022=12-08 05:27,93830-8,Light Sleep,70.0,,,12.0,21.0,
2022=12-08 05:35,,No Physical Activity,63.0,,,,,
2022=12-08 05:36,,No Physical Activity,62.0,,,,,
2022=12-08 05:37,,No Physical Activity,61.0,,,,,
2022=12-08 05:38,,No Physical Activity,61.0,,,,,
2022=12-08 06:22,93830-8,Light Sleep,76.0,,,15.0,31.0,
2022=12-08 06:23,93830-8,Light Sleep,75.0,,,14.0,29.0,
2022=12-08 06:32,,No Physical Activity,69.0,,,,,
2022=12-08 06:33,,No Physical Activity,68.0,,,,,
2022=12-08 06:34,,No Physical Activity,66.0,,,,,
2022=12-08 06:35,,No Physical Activity,64.0,,,,,
2022=12-08 07:21,93830-8,Light Sleep,77.0,,,16.0,33.0,
2022=12-08 07:28,LA11836-6,Running,148.0,10.0,8513.0,,,
2022=12-08 07:30,,No Physical Activity,71.0,,,,,
2022=12-08 08:20,93830-8,Light Sleep,77.0,,,16.0,33.0,
2022=12-08 08:26,LA11836-6,Running,152.0,10.0,9272.0,,,
2022=12-08 09:20,93830-8,Light Sleep,77.0,,,17.0,34.0,
2022=12-08 09:23,LA11836-6,Running,158.0,10.0,10013.0,,,
2022=12-08 10:19,93830-8,Light Sleep,78.0,,,18.0,33.0,
2022=12-08 11:17,93830-8,Light Sleep,78.0,,,18.0,32.0,
2022=12-08 11:19,LA11836-6,Running,162.0,10.0,11169.0,,,
2022=12-08 11:26,,No Physical Activity,68.0,,,,,
2022=12-08 12:16,93830-8,Light Sleep,78.0,,,17.0,31.0,
2022=12-08 13:15,93830-8,Light Sleep,79.0,,,16.0,29.0,
2022=12-08 13:16,LA11836-6,Running,168.0,10.0,13595.0,,,
