Datetime,Code,Activity_Type,Heart rate___beats/minute,Calories burned_kcal,Exercise duration_s,Sleep duration_minutes,Sleep type duration_minutes,Floors climbed___floors
2022=12-08 01:47,93830-8,Light Sleep,59.0,,,12.0,19.0,
2022=12-08 01:48,93830-8,Light Sleep,58.0,,,12.0,18.0,
2022=12-08 01:49,93830-8,Light Sleep,56.0,,,9.0,13.0,
2022=12-08 01:52,93830-8,Light Sleep,54.0,,,4.0,6.0,
2022=12-08 01:54,93829-0,REM Sleep,60.0,,,0.0,0.0,
2022=12-08 01:55,93829-0,REM Sleep,55.0,,,1.0,1.0,
2022=12-08 02:47,93830-8,Light Sleep,60.0,,,10.0,18.0,
2022=12-08 03:47,93830-8,Light Sleep,57.0,,,7.0,14.0,
2022=12-08 03:48,93830-8,Light Sleep,58.0,,,4.0,11.0,
2022=12-08 03:49,93829-0,REM Sleep,57.0,,,4.0,8.0,
2022=12-08 03:50,93829-0,REM Sleep,57.0,,,3.0,7.0,
2022=12-08 03:50,93830-8,Light Sleep,50.0,,,6.0,8.0,
2022=12-08 03:51,93829-0,REM Sleep,56.0,,,3.0,6.0,
2022=12-08 03:52,93829-0,REM Sleep,55.0,,,3.0,5.0,
2022=12-08 03:52,93830-8,Light Sleep,50.0,,,5.0,7.0,
2022=12-08 03:53,93829-0,REM Sleep,55.0,,,2.0,5.0,
2022=12-08 03:53,93830-8,Light Sleep,50.0,,,4.0,6.0,
2022=12-08 03:54,93829-0,REM Sleep,52.0,,,2.0,4.0,
2022=12-08 03:55,93829-0,REM Sleep,51.0,,,2.0,4.0,
2022=12-08 04:41,,Floors Climbed,53.0,,,,,1.0
2022=12-08 04:42,93830-8,Light Sleep,64.0,,,0.0,1.0,
2022=12-08 06:33,,Floors Climbed,55.0,,,,,1.0
2022=12-08 11:23,,No Physical Activity,56.0,,,,,
2022=12-08 17:13,,No Physical Activity,58.0,,,,,
2022=12-08 19:21,LA11836-6,Running,124.0,110.0,74974.0,,,
2022=12-08 21:07,,No Physical Activity,63.0,,,,,
2022=12-08 22:03,LA11836-6,Running,148.0,10.0,10855.0,,,
2022=12-08 22:04,,No Physical Activity,71.0,,,,,
2022=12-08 22:04,LA11836-6,Running,152.0,10.0,11965.0,,,
2022=12-08 22:05,LA11836-6,Running,152.0,10.0,11822.0,,,
2022=12-08 22:07,LA11836-6,Running,148.0,10.0,12775.0,,,
2022=12-08 22:10,LA11836-6,Running,146.0,20.0,16393.0,,,
2022=12-08 22:13,LA11836-6,Running,140.0,30.0,24959.0,,,
2022=12-08 22:17,LA11836-6,Running,132.0,60.0,41842.0,,,
2022=12-09 14:29,LA11834-1,Walking,92.0,150.0,120185.0,,,
2022=12-10 00:51,LA11836-6,Running,110.0,121.0,47150.0,,,
2022=12-10 00:52,LA11836-6,Running,112.0,111.0,44630.0,,,
2022=12-10 00:53,LA11836-6,Running,112.0,101.0,39676.0,,,
2022=12-10 01:50,LA11836-6,Running,118.0,140.0,90345.0,,,
2022=12-10 02:47,LA11836-6,Running,120.0,120.0,86039.0,,,
2022=12-10 05:43,LA11836-6,Running,120.0,120.0,94615.0,,,
2022=12-10 08:36,93830-8,Light Sleep,65.0,,,1.0,1.0,
2022=12-10 08:37,LA11836-6,Running,122.0,140.0,119672.0,,,
2022=12-10 09:28,,Floors Climbed,68.0,,,,,1.0
2022=12-11 01:49,93830-8,Light Sleep,57.0,,,8.0,12.0,
2022=12-11 01:51,93830-8,Light Sleep,56.0,,,5.0,7.0,
2022=12-11 01:53,93829-0,REM Sleep,55.0,,,2.0,3.0,
2022=12-11 01:54,93829-0,REM Sleep,58.0,,,0.0,0.0,
2022=12-11 02:48,93830-8,Light Sleep,59.0,,,8.0,16.0,
2022=12-11 02:49,93830-8,Light Sleep,58.0,,,9.0,15.0,
2022=12-11 03:45,93830-8,Light Sleep,52.0,,,10.0,14.0,
2022=12-11 03:48,93830-8,Light Sleep,59.0,,,6.0,13.0,
2022=12-11 03:49,93830-8,Light Sleep,54.0,,,6.0,10.0,
2022=12-11 03:50,93829-0,REM Sleep,56.0,,,3.0,7.0,
2022=12-11 03:51,93829-0,REM Sleep,56.0,,,3.0,6.0,
2022=12-11 03:51,93830-8,Light Sleep,56.0,,,2.0,4.0,
2022=12-11 03:52,93829-0,REM Sleep,55.0,,,2.0,5.0,
2022=12-11 03:52,93830-8,Light Sleep,50.0,,,5.0,7.0,
2022=12-11 03:53,93829-0,REM Sleep,54.0,,,2.0,4.0,
2022=12-11 03:53,93830-8,Light Sleep,50.0,,,4.0,6.0,
2022=12-11 03:54,93829-0,REM Sleep,52.0,,,2.0,4.0,
2022=12-11 03:55,93829-0,REM Sleep,52.0,,,2.0,4.0,
2022=12-11 04:38,,Floors Climbed,54.0,,,,,1.0
2022=12-11 07:31,,Floors Climbed,55.0,,,,,1.0
2022=12-11 07:32,,Floors Climbed,67.0,,,,,1.0
2022=12-11 13:20,,No Physical Activity,57.0,,,,,
2022=12-11 18:24,LA11834-1,Walking,92.0,130.0,91661.0,,,
2022=12-11 19:11,,No Physical Activity,59.0,,,,,
