Datetime,Code,Activity_Type,Heart rate___beats/minute,Calories burned_kcal,Exercise duration_s,Sleep duration_minutes,Sleep type duration_minutes,Floors climbed___floors
2022=12-08 01:51,93830-8,Light Sleep,57.0,,,6.0,10.0,
2022=12-08 01:52,93830-8,Light Sleep,56.0,,,5.0,6.0,
2022=12-08 01:53,93829-0,REM Sleep,55.0,,,2.0,3.0,
2022=12-08 01:54,93829-0,REM Sleep,57.0,,,1.0,1.0,
2022=12-08 02:48,93830-8,Light Sleep,58.0,,,12.0,17.0,
2022=12-08 02:51,93830-8,Light Sleep,58.0,,,5.0,8.0,
2022=12-08 02:52,93829-0,REM Sleep,61.0,,,0.0,0.0,
2022=12-08 02:52,93830-8,Light Sleep,56.0,,,6.0,10.0,
2022=12-08 02:53,93829-0,REM Sleep,57.0,,,1.0,1.0,
2022=12-08 02:53,93830-8,Light Sleep,56.0,,,3.0,4.0,
2022=12-08 03:38,,Floors Climbed,61.0,,,,,1.0
2022=12-08 03:43,,Floors Climbed,54.0,,,,,1.0
2022=12-08 03:49,93830-8,Light Sleep,54.0,,,9.0,14.0,
2022=12-08 04:33,,No Physical Activity,62.0,,,,,
2022=12-08 04:34,,No Physical Activity,60.0,,,,,
2022=12-08 05:32,,No Physical Activity,60.0,,,,,
2022=12-08 05:32,LA11836-6,Running,120.0,10.0,9178.0,,,
2022=12-08 05:33,,No Physical Activity,60.0,,,,,
2022=12-08 05:34,,No Physical Activity,59.0,,,,,
2022=12-08 06:31,,No Physical Activity,64.0,,,,,
2022=12-08 06:32,,No Physical Activity,60.0,,,,,
2022=12-08 06:32,LA11836-6,Running,120.0,10.0,9212.0,,,
2022=12-08 06:33,,No Physical Activity,61.0,,,,,
2022=12-08 06:39,93830-8,Light Sleep,64.0,,,1.0,1.0,
2022=12-08 06:45,93830-8,Light Sleep,65.0,,,0.0,0.0,
2022=12-08 07:29,,No Physical Activity,65.0,,,,,
2022=12-08 07:32,,No Physical Activity,61.0,,,,,
2022=12-08 08:27,,Floors Climbed,65.0,,,,,1.0
2022=12-08 08:31,,No Physical Activity,62.0,,,,,
2022=12-08 08:32,,Floors Climbed,67.0,,,,,1.0
2022=12-08 09:28,,Floors Climbed,68.0,,,,,1.0
2022=12-08 09:28,,No Physical Activity,66.0,,,,,
2022=12-08 09:29,,No Physical Activity,63.0,,,,,
2022=12-08 09:30,,Floors Climbed,71.0,,,,,1.0
2022=12-08 09:33,,Floors Climbed,66.0,,,,,1.0
2022=12-08 09:34,93830-8,Light Sleep,69.0,,,5.0,3.0,
2022=12-08 09:35,93830-8,Light Sleep,68.0,,,2.0,1.0,
2022=12-08 10:26,,No Physical Activity,66.0,,,,,
2022=12-08 10:28,,No Physical Activity,63.0,,,,,
2022=12-08 10:33,,Floors Climbed,68.0,,,,,1.0
2022=12-08 11:21,,Floors Climbed,74.0,,,,,1.0
2022=12-08 11:23,,No Physical Activity,58.0,,,,,
2022=12-08 11:28,,No Physical Activity,68.0,,,,,
2022=12-08 12:24,,No Physical Activity,67.0,,,,,
2022=12-08 12:25,,No Physical Activity,64.0,,,,,
2022=12-08 14:22,,No Physical Activity,68.0,,,,,
2022=12-08 14:23,,No Physical Activity,64.0,,,,,
2022=12-08 15:13,,No Physical Activity,75.0,,,,,
2022=12-08 15:21,,No Physical Activity,65.0,,,,,
2022=12-08 16:13,,Floors Climbed,66.0,,,,,1.0
2022=12-08 16:19,,No Physical Activity,67.0,,,,,
2022=12-08 17:17,,No Physical Activity,66.0,,,,,
2022=12-08 17:22,LA11836-6,Running,128.0,120.0,85013.0,,,
2022=12-08 18:10,,No Physical Activity,75.0,,,,,
